time,robot,pos,state,carrying_task
172,1,"(9, 7)",to_dropoff,1
172,2,"(9, 7)",to_dropoff,6
172,3,"(8, 7)",to_dropoff,5
173,1,"(9, 7)",to_dropoff,1
173,2,"(9, 7)",to_dropoff,6
173,3,"(8, 7)",to_dropoff,5
174,1,"(9, 7)",to_dropoff,1
174,2,"(9, 7)",to_dropoff,6
174,3,"(8, 7)",to_dropoff,5
175,1,"(9, 7)",to_dropoff,1
175,2,"(9, 7)",to_dropoff,6
175,3,"(8, 7)",to_dropoff,5
176,1,"(9, 7)",to_dropoff,1
176,2,"(9, 7)",to_dropoff,6
176,3,"(8, 7)",to_dropoff,5
177,1,"(9, 7)",to_dropoff,1
177,2,"(9, 7)",to_dropoff,6
177,3,"(8, 7)",to_dropoff,5
178,1,"(9, 7)",to_dropoff,1
178,2,"(9, 7)",to_dropoff,6
178,3,"(8, 7)",to_dropoff,5
179,1,"(9, 7)",to_dropoff,1
179,2,"(9, 7)",to_dropoff,6
179,3,"(8, 7)",to_dropoff,5
180,1,"(9, 7)",to_dropoff,1
180,2,"(9, 7)",to_dropoff,6
180,3,"(8, 7)",to_dropoff,5
181,1,"(9, 7)",to_dropoff,1
181,2,"(9, 7)",to_dropoff,6
181,3,"(8, 7)",to_dropoff,5
182,1,"(9, 7)",to_dropoff,1
182,2,"(9, 7)",to_dropoff,6
182,3,"(8, 7)",to_dropoff,5
183,1,"(9, 7)",to_dropoff,1
183,2,"(9, 7)",to_dropoff,6
183,3,"(8, 7)",to_dropoff,5
184,1,"(9, 7)",to_dropoff,1
184,2,"(9, 7)",to_dropoff,6
184,3,"(8, 7)",to_dropoff,5
185,1,"(9, 7)",to_dropoff,1
185,2,"(9, 7)",to_dropoff,6
185,3,"(8, 7)",to_dropoff,5
186,1,"(9, 7)",to_dropoff,1
186,2,"(9, 7)",to_dropoff,6
186,3,"(8, 7)",to_dropoff,5
187,1,"(9, 7)",to_dropoff,1
187,2,"(9, 7)",to_dropoff,6
187,3,"(8, 7)",to_dropoff,5
188,1,"(9, 7)",to_dropoff,1
188,2,"(9, 7)",to_dropoff,6
188,3,"(8, 7)",to_dropoff,5
189,1,"(9, 7)",to_dropoff,1
189,2,"(9, 7)",to_dropoff,6
189,3,"(8, 7)",to_dropoff,5
190,1,"(9, 7)",to_dropoff,1
190,2,"(9, 7)",to_dropoff,6
190,3,"(8, 7)",to_dropoff,5
191,1,"(9, 7)",to_dropoff,1
191,2,"(9, 7)",to_dropoff,6
191,3,"(8, 7)",to_dropoff,5
192,1,"(9, 7)",to_dropoff,1
192,2,"(9, 7)",to_dropoff,6
192,3,"(8, 7)",to_dropoff,5
193,1,"(9, 7)",to_dropoff,1
193,2,"(9, 7)",to_dropoff,6
193,3,"(8, 7)",to_dropoff,5
194,1,"(9, 7)",to_dropoff,1
194,2,"(9, 7)",to_dropoff,6
194,3,"(8, 7)",to_dropoff,5
195,1,"(9, 7)",to_dropoff,1
195,2,"(9, 7)",to_dropoff,6
195,3,"(8, 7)",to_dropoff,5
196,1,"(9, 7)",to_dropoff,1
196,2,"(9, 7)",to_dropoff,6
196,3,"(8, 7)",to_dropoff,5
197,1,"(9, 7)",to_dropoff,1
197,2,"(9, 7)",to_dropoff,6
197,3,"(8, 7)",to_dropoff,5
198,1,"(9, 7)",to_dropoff,1
198,2,"(9, 7)",to_dropoff,6
198,3,"(8, 7)",to_dropoff,5
199,1,"(9, 7)",to_dropoff,1
199,2,"(9, 7)",to_dropoff,6
199,3,"(8, 7)",to_dropoff,5
